phylum;class;order;family;genus;species;specificEpithet;sex;sampleSizeValue;inTextReference;publicationYear;fullReference;body_mass;body_mass___units;body_mass___minimum;body_mass___maximum;body_mass___method;body_mass___comments;body_mass___metadata_comment;original_body_mass;original_body_mass___units;metabolic_rate;metabolic_rate___units;metabolic_rate___minimum;metabolic_rate___maximum;metabolic_rate___method;metabolic_rate___comments;metabolic_rate___metadata_comment;original_metabolic_rate;original_metabolic_rate___units;original_respiratoryQuotient;original_temperature;mass_specific_metabolic_rate;mass_specific_metabolic_rate___units;brain_size;brain_size___units;brain_size___minimum;brain_size___maximum;brain_size___method;brain_size___comments;brain_size___metadata_comment;original_brain_size;original_brain_size___units
Chordata;Amphibia;Anura;Hylidae;Hyla;Hyla_versicolor;versicolor;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.01315;kg;;;;;;13.15;g;;;;;;;;;;;;;;4.225844e_05;kg;;;histological_reconstruction;total_brain_volume_;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";40.79;mm3
Chordata;Amphibia;Anura;Hylidae;Pseudacris;Pseudacris_triseriata;triseriata;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;1e_04;kg;;;;;;0.1;g;;;;;;;;;;;;;;2.25848e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";2.18;mm3
Chordata;Amphibia;Anura;Hylidae;Acris;Acris_crepitans;crepitans;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;3e_04;kg;;;;;;0.3;g;;;;;;;;;;;;;;4.43408e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";4.28;mm3
Chordata;Amphibia;Anura;Ceratobatrachidae;Platymantis;Platymantis_vitiensis;vitiensis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;3e_04;kg;;;;;;0.3;g;;;;;;;;;;;;;;4.93136e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";4.76;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_sylvatica;sylvatica;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.00037;kg;;;;;;0.37;g;;;;;;;;;;;;;;8.56772e_06;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";8.27;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_pipiens;pipiens;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.0011;kg;;;;;;1.1;g;;;;;;;;;;;;;;2.03574e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";19.65;mm3
Chordata;Amphibia;Anura;Ranidae;Rana;Rana_clamitans;clamitans;;3;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.00362;kg;;;;;;3.62;g;;;;;;;;;;;;;;3.915044e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";37.79;mm3
Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus_laevis;laevis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.03237;kg;;;;;;32.37;g;;;;;;;;;;;;;;5.137524e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";49.59;mm3
Chordata;Amphibia;Anura;Rhionphrynidae;Rhinophrynus;Rhinophrynus_dorsalis;dorsalis;;1;Taylor,_Nol,_&_Boire,_1995;1995;Taylor,_G._M.,_Nol,_E.,_&_Boire,_D._(1995)._Brain_regions_and_encephalization_in_anurans:_adaptation_or_stability?_Brain,_behavior_and_evolution,_45(2),_96_109._doi:10.1159/000113543;0.01657;kg;;;;;;16.57;g;;;;;;;;;;;;;;3.292408e_05;kg;;;histological_reconstruction;;"photographs_of_cross_sections_were_taken_and_volume_measured_using_scientific_digitizing_tablet;_brains_were_weighed";31.78;mm3
Arthropoda;Arachnida;Araneae;Ctenidae;Cupiennius;Cupiennius_salei;salei;;5;Weltzien_&_Barth,_1991;1991;Peter,_W.,_&_Barth,_F._G._(1991)._Volumetric_measurements_do_not_demonstrate_that_the_spider_brain_“central_body”_has_a_special_role_in_web_building._Journal_of_Morphology,_208(1),_91_98._doi:10.1002/jmor.1052080104;;;;;;;;;;;;;;;;;;;;;;;2.50712e_07;kg;;;histological_reconstruction;;cross_sctions_were_horizontally_aligned_and_measured_with_microscopic_device;2.42e+08;um3
Arthropoda;Arachnida;Araneae;Araneidae;Nephila;Nephila_clavipes;clavipes;;5;Weltzien_&_Barth,_1991;1991;Peter,_W.,_&_Barth,_F._G._(1991)._Volumetric_measurements_do_not_demonstrate_that_the_spider_brain_“central_body”_has_a_special_role_in_web_building._Journal_of_Morphology,_208(1),_91_98._doi:10.1002/jmor.1052080104;;;;;;;;;;;;;;;;;;;;;;;6.30924e_08;kg;;;histological_reconstruction;DONTWARN:_checked_value_correct;cross_sctions_were_horizontally_aligned_and_measured_with_microscopic_device;60900000;um3
Arthropoda;Arachnida;Araneae;Theraphosidae;Ephebopus;Ephebopus_sp.;sp.;;3;Weltzien_&_Barth,_1991;1991;Peter,_W.,_&_Barth,_F._G._(1991)._Volumetric_measurements_do_not_demonstrate_that_the_spider_brain_“central_body”_has_a_special_role_in_web_building._Journal_of_Morphology,_208(1),_91_98._doi:10.1002/jmor.1052080104;;;;;;;;;;;;;;;;;;;;;;;3.82284e_07;kg;;;histological_reconstruction;;cross_sctions_were_horizontally_aligned_and_measured_with_microscopic_device;3.69e+08;um3
Arthropoda;Arachnida;Araneae;Salticidae;Phidippus;Phidippus_regius;regius;;3;Weltzien_&_Barth,_1991;1991;Peter,_W.,_&_Barth,_F._G._(1991)._Volumetric_measurements_do_not_demonstrate_that_the_spider_brain_“central_body”_has_a_special_role_in_web_building._Journal_of_Morphology,_208(1),_91_98._doi:10.1002/jmor.1052080104;;;;;;;;;;;;;;;;;;;;;;;2.7454e_07;kg;;;histological_reconstruction;;cross_sctions_were_horizontally_aligned_and_measured_with_microscopic_device;2.65e+08;um3
Arthropoda;Arachnida;Araneae;Araneidae;Zygiella;Zygiella_x_notata;x_notata;;20;Pasquet,_Toscani,_&_Anotaux,_2018;2018;Pasquet,_A.,_Toscani,_C.,_&_Anotaux,_M._(2018)._Influence_of_aging_on_brain_and_web_characteristics_of_an_orb_web_spider._Journal_of_Ethology,_36(1),_85_91._doi:10.1007/s10164_017_0530_z;3.9e_05;kg;;;;old_spider;;39;mg;;;;;;;;;;;;;;1.22248e_06;kg;;;histological_reconstruction;old_spider;surface_areas_were_measured_with_microscope_then_rotated_90_deg_and_divided_into_seven_sections,_heights_were_calculated_then_volume_was_measured;1.18;mm3
Arthropoda;Arachnida;Araneae;Araneidae;Zygiella;Zygiella_x_notata;x_notata;;13;Pasquet,_Toscani,_&_Anotaux,_2018;2018;Pasquet,_A.,_Toscani,_C.,_&_Anotaux,_M._(2018)._Influence_of_aging_on_brain_and_web_characteristics_of_an_orb_web_spider._Journal_of_Ethology,_36(1),_85_91._doi:10.1007/s10164_017_0530_z;2.9e_05;kg;;;;young_spider;;29;mg;;;;;;;;;;;;;;1.35716e_06;kg;;;histological_reconstruction;young_spider;surface_areas_were_measured_with_microscope_then_rotated_90_deg_and_divided_into_seven_sections,_heights_were_calculated_then_volume_was_measured;1.31;mm3
Arthropoda;Arachnida;Araneae;Mysmenidae;Mysmena;Mysmena_sp.;sp.;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;1e_07;kg;;;;;;0.1;mg;;;;;;;;;;;;;;4.0404e_09;kg;;;histological_reconstruction;CNS_(includes_volume_of_neuropil);photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;3.9;x1e6_um3
Arthropoda;Arachnida;Araneae;Mysmenidae;Mysmenopsis;Mysmenopsis_tengellacompa;tengellacompa;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;3e_07;kg;;;;;;0.3;mg;;;;;;;;;;;;;;1.87516e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;18.1;x1e6_um3
Arthropoda;Arachnida;Araneae;Anapidae;Anapisona;Anapisona_simoni;simoni;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;8e_07;kg;;;;;;0.8;mg;;;;;;;;;;;;;;1.31572e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;12.7;x1e6_um3
Arthropoda;Arachnida;Araneae;Anapidae;Anapisona;Anapisona_simoni;simoni;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;8e_07;kg;;;;;;0.8;mg;;;;;;;;;;;;;;1.20176e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;11.6;x1e6_um3
Arthropoda;Arachnida;Araneae;Theridiidae;Faiditus;Faiditus_elevatus;elevatus;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;3e_06;kg;;;;;;3;mg;;;;;;;;;;;;;;3.39808e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;32.8;x1e6_um3
Arthropoda;Arachnida;Araneae;Theridiidae;Faiditus;Faiditus_elevatus;elevatus;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;2.4e_06;kg;;;;;;2.4;mg;;;;;;;;;;;;;;5.51152e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;53.2;x1e6_um3
Arthropoda;Arachnida;Araneae;Theridiidae;Faiditus;Faiditus_sp.;sp.;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;2.7e_06;kg;;;;;;2.7;mg;;;;;;;;;;;;;;5.57368e_08;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;53.8;x1e6_um3
Arthropoda;Arachnida;Araneae;Araneidae;Eustala;Eustala_illicita;illicita;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;1.4e_05;kg;;;;;;14;mg;;;;;;;;;;;;;;;;;;;;;;
Arthropoda;Arachnida;Araneae;Tetragnathidae;Leucauge;Leucauge_mariana;mariana;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;6e_05;kg;;;;;;60;mg;;;;;;;;;;;;;;1.580936e_07;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;152.6;x1e6_um3
Arthropoda;Arachnida;Araneae;Tetragnathidae;Leucauge;Leucauge_mariana;mariana;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;2e_05;kg;;;;;;20;mg;;;;;;;;;;;;;;1.34162e_07;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;129.5;x1e6_um3
Arthropoda;Arachnida;Araneae;Araneidae;Argiope;Argiope_argentata;argentata;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;0.00025;kg;;;;;;250;mg;;;;;;;;;;;;;;3.451952e_07;kg;;;histological_reconstruction;;photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;333.2;x1e6_um3
Arthropoda;Arachnida;Araneae;Araneidae;Nephila;Nephila_clavipes;clavipes;female;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;0.002;kg;;;;"DONTWARN:_checked;_data_valid,_extreme_sexual_dimorphism";;2000;mg;;;;;;;;;;;;;;6.6304e_07;kg;;;histological_reconstruction;"DONTWARN:_checked;_data_valid,_extreme_sexual_dimorphism";photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;640;x1e6_um3
Arthropoda;Arachnida;Araneae;Araneidae;Nephila;Nephila_clavipes;clavipes;male;1;Quesada_et_al.,_2011;2011;Quesada,_R.,_Triana,_E.,_Vargas,_G.,_Douglass,_J._K.,_Seid,_M._A.,_Niven,_J._E.,_._._._Wcislo,_W._T._(2011)._The_allometry_of_CNS_size_and_consequences_of_miniaturization_in_orb_weaving_and_cleptoparasitic_spiders._Arthropod_Structure_&_Development,_40(6),_521_529._doi:10.1016/j.asd.2011.07.002;1.12e_05;kg;;;;"DONTWARN:_checked;_data_valid,_extreme_sexual_dimorphism";;11.2;mg;;;;;;;;;;;;;;1.615124e_07;kg;;;histological_reconstruction;"DONTWARN:_checked;_data_valid,_extreme_sexual_dimorphism";photographs_of_cross_sections_were_taken_and_then_reconstructed_using_PC_reconstruct;155.9;x1e6_um3
Arthropoda;Arachnida;Araneae;Agelenidae;Eratigena;Eratigena_atrica;atrica;;10;Napiorkowska_&_Kobak,_2017;2017;Napiorkowska,_T.,_&_Kobak,_J._(2017)._The_allometry_of_the_central_nervous_system_during_the_postembryonic_development_of_the_spider_Eratigena_atrica._Arthropod_Structure_&_Development,_46(6),_805_814._doi:10.1016/j.asd.2017.08.005;;;;;;;;;;;;;;;;;;;;;;;1.37788e_07;kg;;;histological_reconstruction;;;0.133;mm3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.4503462158e_08;kg;;;micro_CT;supplementary_material_says_data_is_in_u3?_In_text_units_are_um3___no_body_mass_recorded_;;23651990.5;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.20232955628e_08;kg;;;micro_CT;;;21258007.3;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.4336333084e_08;kg;;;micro_CT;;;23490669;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.29617674552e_08;kg;;;micro_CT;;;22163868.2;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.94616373604e_08;kg;;;micro_CT;;;28437873.9;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.43684882448e_08;kg;;;micro_CT;;;23521706.8;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.11184038492e_08;kg;;;micro_CT;;;20384559.7;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;3.49649815592e_08;kg;;;micro_CT;;;33749982.2;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;4.01069884348e_08;kg;;;micro_CT;;;38713309.3;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.5316848032e_08;kg;;;micro_CT;;;24437112;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;3.87650902688e_08;kg;;;micro_CT;;;37418040.8;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;2.90785670364e_08;kg;;;micro_CT;;;28068114.9;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;3.75635258656e_08;kg;;;micro_CT;;;36258229.6;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;3.7893214632e_08;kg;;;micro_CT;;;36576462;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;3.91118186452e_08;kg;;;micro_CT;;;37752720.7;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;4.37845336824e_08;kg;;;micro_CT;;;42263063.4;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;male;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;4.33228244316e_08;kg;;;micro_CT;;;41817398.1;um3
Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis;Deinopis_spinosa;spinosa;female;1;Stafstrom,_Michalik,_&_Hebets,_2017;2017;Stafstrom,_J._A.,_Michalik,_P.,_&_Hebets,_E._A._(2017)._Sensory_system_plasticity_in_a_visually_specialized,_nocturnal_spider._Scientific_Reports,_7,_46627._doi:10.1038/srep46627;;;;;;;;;;;;;;;;;;;;;;;4.5013875732e_08;kg;;;micro_CT;;;43449687;um3
